Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commision,High Limit,Low Limit,Comment
ZLB.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,40.988583828232066,2189.0,0,0,0,Nov 2024 Reload
ZAG.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,14.916529537228543,20589.0,0,0,0,Nov 2024 Reload
XBAL.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,27.810000000000002,11520.0,0,0,0,Nov 2024 Reload
WMT,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,55.274470802919716,366.0,0,0,0,Nov 2024 Reload
VZ,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,40.09140200286123,668.0,0,0,0,Nov 2024 Reload
VGG.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,47.71027231467473,775.0,0,0,0,Nov 2024 Reload
UBER,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,65.00609302325581,392.0,0,0,0,Nov 2024 Reload
TRP.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,50.974858966918156,621.0,0,0,0,Nov 2024 Reload
TD,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,43.18621527777778,155.0,0,0,0,Nov 2024 Reload
T.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,22.77,6276.0,0,0,0,Nov 2024 Reload
SQ,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,68.68977822580645,433.0,0,0,0,Nov 2024 Reload
SOBO.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,0.0,123.0,0,0,0,Nov 2024 Reload
RY.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,130.927746031746,237.0,0,0,0,Nov 2024 Reload
QSR.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,93.23774678111589,410.0,0,0,0,Nov 2024 Reload
QCOM,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,143.2480701754386,174.0,0,0,0,Nov 2024 Reload
PDC.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,29.562139423076925,2080.0,0,0,0,Nov 2024 Reload
NPI.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,24.313697972251866,1712.0,0,0,0,Nov 2024 Reload
MUB.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,18.22040105940219,5286.0,0,0,0,Nov 2024 Reload
MDT,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,75.52676585365855,327.0,0,0,0,Nov 2024 Reload
MA,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,278.21359999999993,60.0,0,0,0,Nov 2024 Reload
KO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,47.29476063829788,418.0,0,0,0,Nov 2024 Reload
IFC.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,147.535643153527,153.0,0,0,0,Nov 2024 Reload
HD,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,326.1285714285714,73.0,0,0,0,Nov 2024 Reload
GOOG,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,113.31085185185187,177.0,0,0,0,Nov 2024 Reload
CP.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,92.70550495049505,344.0,0,0,0,Nov 2024 Reload
CNQ.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,44.86853535353534,889.0,0,0,0,Nov 2024 Reload
CME,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,185.6979574468085,136.0,0,0,0,Nov 2024 Reload
CAR-UN.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,36.57259322033898,672.0,0,0,0,Nov 2024 Reload
C,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,56.543539426523296,473.0,0,0,0,Nov 2024 Reload
BCE.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,55.579519961338036,3486.8378999999995,0,0,0,Nov 2024 Reload
ARX.TO,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,13.101338175948344,1747.0,0,0,0,Nov 2024 Reload
APD,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,287.7174647887324,99.0,0,0,0,Nov 2024 Reload
AMZN,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,117.80886639676113,159.0,0,0,0,Nov 2024 Reload
AMGN,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,199.60035984848483,91.0,0,0,0,Nov 2024 Reload
ACN,0,2024-11-25,00:00 EST,0,0,0,0,0,20241125,125.3575187713311,87.0,0,0,0,Nov 2024 Reload
