Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commision,High Limit,Low Limit,Comment
ZLB.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,49.3699989319,2207.0,0,0,0,Export from local DB
ZAG.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,14.0399999619,20810.0,0,0,0,Export from local DB
XYZ,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,59.5,433.0,0,0,0,Export from local DB
XBAL.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,30.4500007629,11520.0,0,0,0,Export from local DB
WMT,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,92.0899963379,366.0,0,0,0,Export from local DB
VZ,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,45.7849998474,668.0,0,0,0,Export from local DB
VGG.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,96.5299987793,775.0,0,0,0,Export from local DB
UBER,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,74.9800033569,392.0,0,0,0,Export from local DB
TRP.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,65.3700027466,621.0,0,0,0,Export from local DB
TD,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,59.1813011169,155.0,0,0,0,Export from local DB
T.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,22.6200008392,6276.0,0,0,0,Export from local DB
SOBO.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,35.1899986267,123.0,0,0,0,Export from local DB
RY.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,164.3999938965,237.0,0,0,0,Export from local DB
QSR.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,98.7799987793,410.0,0,0,0,Export from local DB
QCOM,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,157.1900024414,174.0,0,0,0,Export from local DB
PDF.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,33.5400009155,1690.0,0,0,0,Export from local DB
PDC.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,33.6599998474,2117.0,0,0,0,Export from local DB
NPI.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,19.5100002289,839.0,0,0,0,Export from local DB
MUB.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,18.4200000763,5439.0,0,0,0,Export from local DB
MDT,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,92.8899993896,327.0,0,0,0,Export from local DB
MA,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,537.8400268555,60.0,0,0,0,Export from local DB
KO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,70.9550018311,418.0,0,0,0,Export from local DB
IFC.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,289.4400024414,153.0,0,0,0,Export from local DB
HD,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,371.1549987793,73.0,0,0,0,Export from local DB
GOOG,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,172.8600006104,177.0,0,0,0,Export from local DB
CP.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,110.8399963379,344.0,0,0,0,Export from local DB
CNQ.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,41.1699981689,889.0,0,0,0,Export from local DB
CME,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,252.2200012207,136.0,0,0,0,Export from local DB
CAR-UN.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,41.6500015259,672.0,0,0,0,Export from local DB
C,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,68.8000030518,473.0,0,0,0,Export from local DB
BCE.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,35.7799987793,3594.5885999999996,0,0,0,Export from local DB
ARX.TO,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,25.1299991608,856.0,0,0,0,Export from local DB
APD,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,311.4949951172,99.0,0,0,0,Export from local DB
AMZN,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,196.7100067139,159.0,0,0,0,Export from local DB
AMGN,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,325.0299987793,44.0,0,0,0,Export from local DB
ACN,0,2025-03-09,00:00 EST,0,0,0,0,0,20250101,336.3999938965,85.0,0,0,0,Export from local DB
